FIPS,Gyms
1001,2
1003,23
1005,0
1009,2
1013,1
1015,7
1019,2
1021,5
1025,3
1031,7
1033,6
1039,4
1043,5
1045,10
1047,0
1049,3
1051,3
1053,2
1055,4
1059,2
1067,0
1069,4
1073,70
1077,9
1079,9
1081,6
1083,6
1085,1
1089,35
1091,9
1093,2
1095,10
1097,29
1101,20
1103,7
1107,6
1109,7
1113,4
1115,2
1117,31
1119,6
1123,0
1125,14
1127,3
2020,26
2090,11
2110,15
2122,11
2130,3
2170,8
2185,10
2220,6
2261,5
4003,10
4005,15
4007,5
4009,3
4013,193
4015,5
4017,5
4019,106
4025,17
4027,6
5005,5
5007,12
5009,3
5011,3
5015,0
5019,2
5021,1
5023,1
5027,2
5031,8
5033,5
5035,2
5037,1
5045,4
5047,0
5049,0
5051,5
5055,4
5057,1
5059,1
5061,1
5063,1
5069,1
5071,1
5079,1
5083,0
5085,2
5093,2
5103,3
5107,1
5113,1
5115,7
5119,30
5121,3
5125,10
5131,12
5133,1
5139,2
5141,2
5143,18
5145,6
5147,1
6001,139
6005,5
6007,16
6009,4
6011,1
6013,121
6015,9
6017,6
6019,24
6021,0
6023,14
6025,12
6027,4
6029,28
6031,6
6033,10
6035,17
6037,819
6039,19
6041,52
6043,4
6045,16
6047,19
6051,2
6053,24
6055,30
6057,14
6059,235
6061,31
6063,3
6065,63
6067,116
6069,15
6071,73
6073,317
6075,84
6077,30
6079,37
6081,110
6083,35
6085,241
6087,38
6089,21
6093,13
6095,39
6097,44
6099,42
6101,14
6105,8
6107,12
6109,12
6111,90
6113,17
8001,27
8003,9
8005,56
8007,12
8013,50
8015,13
8029,2
8031,95
8035,22
8037,14
8041,50
8043,4
8045,8
8049,8
8051,7
8059,41
8063,9
8067,8
8069,35
8071,11
8075,2
8077,10
8081,1
8083,0
8085,14
8087,15
8095,15
8097,11
8099,9
8101,13
8105,1
8107,5
8113,1
8117,0
8119,4
8123,20
9001,0
9003,0
9005,0
9007,0
9009,0
9011,0
9013,2
9015,0
10001,0
10003,0
10005,4
11001,43
12001,30
12003,3
12005,20
12009,45
12011,183
12015,9
12019,13
12023,3
12025,259
12031,71
12033,23
12037,8
12045,12
12049,2
12051,3
12053,9
12055,4
12057,114
12061,17
12069,14
12071,34
12073,29
12075,1
12079,1
12081,25
12085,18
12087,8
12089,6
12091,5
12093,1
12095,89
12099,185
12101,26
12103,68
12105,31
12109,13
12111,17
12113,10
12115,49
12117,31
12119,1
12121,5
12123,1
12127,20
12129,4
12131,2
13001,1
13009,3
13013,3
13015,8
13017,4
13019,1
13021,11
13025,1
13029,2
13031,4
13035,6
13039,4
13045,7
13047,4
13049,1
13051,25
13055,0
13057,22
13059,15
13063,2
13067,70
13069,7
13071,1
13073,6
13077,8
13081,5
13083,2
13085,3
13089,39
13091,1
13095,6
13097,9
13111,2
13113,11
13115,5
13119,3
13121,144
13127,6
13129,3
13135,12
13137,1
13139,12
13143,3
13145,3
13151,13
13153,11
13155,1
13157,5
13159,0
13169,2
13175,4
13179,1
13185,5
13187,2
13207,3
13211,2
13215,9
13219,5
13221,9
13223,6
13225,3
13227,3
13229,2
13231,1
13233,4
13237,4
13245,18
13255,11
13257,2
13261,2
13275,5
13277,5
13279,2
13281,60
13285,6
13291,0
13295,2
13297,1
13299,4
13305,1
13311,8
13313,4
13321,4
15001,9
15003,51
15007,5
15009,11
16001,44
16005,9
16011,4
16013,8
16015,1
16017,6
16019,7
16021,1
16027,9
16031,2
16037,0
16039,16
16045,6
16047,2
16049,4
16055,14
16057,8
16059,2
16065,5
16069,6
16075,0
16079,4
16081,4
16083,11
16085,9
16087,3
17001,9
17005,4
17007,3
17009,1
17011,3
17017,1
17019,39
17021,3
17023,1
17025,1
17027,0
17029,8
17031,456
17037,10
17039,2
17041,1
17043,100
17045,2
17049,2
17051,7
17053,7
17055,4
17057,2
17063,8
17073,2
17075,1
17077,6
17079,1
17081,4
17083,4
17085,1
17087,1
17089,37
17091,10
17093,16
17095,1
17097,120
17099,11
17103,3
17105,3
17107,2
17109,1
17111,32
17113,15
17115,7
17117,4
17119,28
17121,6
17123,2
17127,1
17129,2
17131,2
17133,5
17135,3
17137,10
17141,8
17143,12
17145,1
17147,0
17149,1
17155,3
17157,2
17159,3
17161,19
17163,24
17167,22
17177,7
17179,18
17183,8
17185,1
17187,1
17189,2
17191,2
17195,1
17197,37
17199,9
17201,23
17203,3
18001,3
18003,44
18005,14
18007,5
18009,1
18011,10
18013,10
18015,2
18017,4
18019,9
18027,2
18029,5
18031,6
18033,6
18035,13
18037,6
18039,16
18041,2
18043,3
18047,6
18049,0
18051,9
18053,2
18055,2
18057,26
18059,7
18061,1
18063,9
18065,5
18067,10
18069,5
18071,2
18073,6
18075,2
18077,3
18079,3
18081,5
18083,3
18085,5
18087,1
18089,31
18091,8
18093,2
18095,9
18097,65
18099,1
18101,1
18103,4
18105,9
18107,8
18109,4
18111,1
18113,1
18115,10
18119,1
18121,1
18123,2
18125,1
18127,9
18129,2
18131,2
18135,0
18139,4
18141,23
18143,1
18145,2
18149,0
18151,4
18157,16
18163,15
18165,1
18167,35
18169,2
18173,7
18175,1
18177,3
18179,13
18183,3
19001,1
19005,6
19007,1
19011,3
19013,13
19015,2
19017,1
19021,4
19025,1
19027,3
19029,3
19031,2
19033,9
19037,1
19041,2
19045,4
19047,2
19049,2
19051,0
19055,6
19057,6
19059,5
19061,4
19063,2
19065,2
19067,2
19069,9
19077,10
19081,1
19087,1
19089,1
19091,1
19093,1
19095,0
19097,4
19099,1
19101,3
19103,17
19109,1
19111,4
19113,28
19117,1
19119,0
19121,1
19123,10
19125,5
19129,2
19131,1
19133,1
19137,9
19139,0
19141,3
19145,0
19149,8
19153,47
19155,8
