FIPS,Gyms
1001,2
1003,26
1005,1
1009,1
1013,6
1015,1
1019,2
1021,3
1025,1
1031,4
1033,5
1039,3
1043,2
1045,1
1047,2
1049,1
1051,4
1053,2
1055,4
1059,1
1067,1
1069,6
1073,68
1077,9
1079,4
1081,6
1083,3
1085,1
1089,42
1091,2
1093,2
1095,5
1097,27
1101,18
1103,8
1107,1
1109,2
1113,2
1115,1
1117,26
1119,1
1123,1
1125,14
1127,3
2020,1
2090,35
2110,7
2122,8
2130,10
2170,4
2185,3
2220,1
2261,1
4003,2
4005,9
4007,15
4009,3
4013,1
4015,251
4017,7
4019,3
4025,92
4027,13
5005,6
5007,1
5009,4
5011,16
5015,1
5019,1
5021,1
5023,3
5027,1
5031,1
5033,3
5035,8
5037,5
5045,2
5047,2
5049,5
5051,1
5055,1
5057,8
5059,4
5061,1
5063,1
5069,1
5071,1
5079,1
5083,2
5085,1
5093,1
5103,3
5107,2
5113,2
5115,2
5119,1
5121,4
5125,41
5131,3
5133,9
5139,12
5141,1
5143,1
5145,1
5147,2
6001,20
6005,8
6007,1
6009,136
6011,5
6013,15
6015,4
6017,1
6019,115
6021,1
6023,6
6025,28
6027,13
6029,10
6031,2
6033,41
6035,8
6037,3
6039,4
6041,736
6043,6
6045,61
6047,2
6051,15
6053,16
6055,1
6057,22
6059,20
6061,12
6063,224
6065,38
6067,2
6069,60
6071,111
6073,4
6075,96
6077,292
6079,109
6081,28
6083,38
6085,100
6087,44
6089,228
6093,37
6095,16
6097,4
6099,40
6101,51
6105,35
6107,7
6109,1
6111,13
6113,4
8001,84
8003,12
8005,19
8007,3
8013,59
8015,1
8029,58
8031,5
8035,1
8037,78
8041,21
8043,10
8045,64
8049,4
8051,3
8059,1
8063,3
8067,1
8069,52
8071,1
8075,6
8077,38
8081,2
8083,1
8085,7
8087,8
8095,3
8097,1
8099,7
8101,2
8105,13
8107,1
8113,4
8117,1
8119,2
8123,2
9001,22
9003,161
9005,112
9007,21
9009,23
9011,80
9013,25
9015,18
10001,14
10003,10
10005,83
11001,28
12001,85
12003,28
12005,2
12009,17
12011,38
12015,163
12019,8
12023,16
12025,3
12031,238
12033,67
12037,19
12045,1
12049,1
12051,1
12053,2
12055,10
12057,4
12061,135
12069,14
12071,1
12073,13
12075,32
12079,28
12081,1
12085,1
12087,23
12089,18
12091,20
12093,8
12095,17
12099,1
12101,84
12103,166
12105,19
12109,66
12111,33
12113,10
12115,19
12117,10
12119,47
12121,39
12123,1
12127,1
12129,1
12131,16
13001,3
13009,1
13013,1
13015,3
13017,3
13019,8
13021,2
13025,1
13029,11
13031,2
13035,3
13039,3
13045,1
13047,4
13049,8
13051,4
13055,1
13057,21
13059,13
13063,17
13067,2
13069,66
13071,8
13073,1
13077,6
13081,1
13083,7
13085,1
13089,1
13091,2
13095,62
13097,1
13111,5
13113,8
13115,1
13119,1
13121,1
13127,12
13129,2
13135,2
13137,120
13139,2
13143,6
13145,3
13151,14
13153,2
13155,8
13157,2
13159,14
13169,11
13175,1
13179,4
13185,2
13187,3
13207,2
13211,7
13215,1
13219,2
13221,3
13223,2
13225,14
13227,5
13229,1
13231,6
13233,3
13237,3
13245,1
13255,2
13257,3
13261,2
13275,19
13277,7
13279,2
13281,1
13285,5
13291,5
13295,1
13297,6
13299,4
13305,1
13311,3
13313,1
13321,2
15001,5
15003,3
15007,11
15009,50
16001,5
16005,14
16011,44
16013,6
16015,4
16017,9
16019,2
16021,5
16027,3
16031,1
16037,7
16039,2
16045,1
16047,2
16049,3
16055,1
16057,2
16059,1
16065,17
16069,3
16075,1
16079,3
16081,8
16083,1
16085,1
16087,11
17001,3
17005,1
17007,10
17009,1
17011,2
17017,1
17019,2
17021,1
17023,1
17025,18
17027,4
17029,1
17031,1
17037,1
17039,6
17041,445
17043,9
17045,2
17049,2
17051,119
17053,4
17055,4
17057,2
17063,2
17073,4
17075,3
17077,12
17079,4
17081,2
17083,6
17085,1
17087,6
17089,2
17091,1
17093,1
17095,39
17097,11
17099,14
17103,3
17105,122
17107,9
17109,3
17111,4
17113,2
17115,2
17117,33
17119,24
17121,7
17123,4
17127,35
17129,6
17131,1
17133,1
