FIPS,State,County,Obesity_Percent
1001,Alabama,Autauga County,32
1003,Alabama,Baldwin County,26
1005,Alabama,Barbour County,37
1007,Alabama,Bibb County,34
1009,Alabama,Blount County,32
1011,Alabama,Bullock County,40
1013,Alabama,Butler County,39
1015,Alabama,Calhoun County,34
1017,Alabama,Chambers County,35
1019,Alabama,Cherokee County,31
1021,Alabama,Chilton County,37
1023,Alabama,Choctaw County,38
1025,Alabama,Clarke County,37
1027,Alabama,Clay County,35
1029,Alabama,Cleburne County,30
1031,Alabama,Coffee County,32
1033,Alabama,Colbert County,33
1035,Alabama,Conecuh County,33
1037,Alabama,Coosa County,34
1039,Alabama,Covington County,36
1041,Alabama,Crenshaw County,37
1043,Alabama,Cullman County,32
1045,Alabama,Dale County,35
1047,Alabama,Dallas County,41
1049,Alabama,DeKalb County,35
1051,Alabama,Elmore County,32
1053,Alabama,Escambia County,36
1055,Alabama,Etowah County,32
1057,Alabama,Fayette County,37
1059,Alabama,Franklin County,31
1061,Alabama,Geneva County,35
1063,Alabama,Greene County,48
1065,Alabama,Hale County,46
1067,Alabama,Henry County,34
1069,Alabama,Houston County,33
1071,Alabama,Jackson County,30
1073,Alabama,Jefferson County,32
1075,Alabama,Lamar County,32
1077,Alabama,Lauderdale County,32
1079,Alabama,Lawrence County,38
1081,Alabama,Lee County,31
1083,Alabama,Limestone County,33
1085,Alabama,Lowndes County,45
1087,Alabama,Macon County,40
1089,Alabama,Madison County,31
1091,Alabama,Marengo County,40
1093,Alabama,Marion County,33
1095,Alabama,Marshall County,31
1097,Alabama,Mobile County,34
1099,Alabama,Monroe County,33
1101,Alabama,Montgomery County,34
1103,Alabama,Morgan County,33
1105,Alabama,Perry County,43
1107,Alabama,Pickens County,36
1109,Alabama,Pike County,37
1111,Alabama,Randolph County,32
1113,Alabama,Russell County,37
1115,Alabama,St. Clair County,33
1117,Alabama,Shelby County,28
1119,Alabama,Sumter County,42
1121,Alabama,Talladega County,37
1123,Alabama,Tallapoosa County,35
1125,Alabama,Tuscaloosa County,35
1127,Alabama,Walker County,35
1129,Alabama,Washington County,36
1131,Alabama,Wilcox County,43
1133,Alabama,Winston County,36
2013,Alaska,Aleutians East Borough,31
2016,Alaska,Aleutians West,28
2020,Alaska,Anchorage Municipality,26
2050,Alaska,Bethel Census Area,30
2060,Alaska,Bristol Bay Borough,33
2068,Alaska,Denali Borough,26
2070,Alaska,Dillingham Census Area,34
2090,Alaska,Fairbanks North Star,29
2100,Alaska,Haines Borough,32
2105,Alaska,Hoonah-Angoon 2009 Census,30
2110,Alaska,Juneau City and Borough,26
2122,Alaska,Kenai Peninsula Borough,29
2130,Alaska,Ketchikan Gateway Borough,28
2150,Alaska,Kodiak Island Borough,30
2164,Alaska,Lake and Peninsula Borough,34
2170,Alaska,Matanuska-Susitna Borough,31
2180,Alaska,Nome Census Area,35
2185,Alaska,North Slope Borough,39
2188,Alaska,Northwest Arctic Borough,30
2195,Alaska,Petersburg 2009 Census,31
2198,Alaska,Prince of Wales-Hyder 2009 Census,36
2201,Alaska,Prince of Wales-Outer K 2004 to 2008 Census,0
2220,Alaska,Sitka City and Borough,29
2230,Alaska,Skagway Municipality 2009 Census,27
2232,Alaska,Hoonah-Angoon 2004 to 2008 Census,0
2240,Alaska,Southeast Fairbanks Census,31
2261,Alaska,Valdez-Cordova Census Area,27
2270,Alaska,Wade Hampton Census Area,30
2275,Alaska,Wrangell City and Borough 2009 Census,31
2280,Alaska,Wrangell-Petersburg 2004 to 2008 Census,0
2282,Alaska,Yakutat City and Borough,30
2290,Alaska,Yukon-Koyukuk Census Area,30
4001,Arizona,Apache County,33
4003,Arizona,Cochise County,24
4005,Arizona,Coconino County,25
4007,Arizona,Gila County,26
4009,Arizona,Graham County,33
4011,Arizona,Greenlee County,36
4012,Arizona,La Paz County,30
4013,Arizona,Maricopa County,24
4015,Arizona,Mohave County,28
4017,Arizona,Navajo County,31
4019,Arizona,Pima County,26
4021,Arizona,Pinal County,30
4023,Arizona,Santa Cruz County,22
4025,Arizona,Yavapai County,22
4027,Arizona,Yuma County,29
5001,Arkansas,Arkansas County,36
5003,Arkansas,Ashley County,39
5005,Arkansas,Baxter County,28
5007,Arkansas,Benton County,28
5009,Arkansas,Boone County,29
5011,Arkansas,Bradley County,34
5013,Arkansas,Calhoun County,34
5015,Arkansas,Carroll County,26
5017,Arkansas,Chicot County,38
5019,Arkansas,Clark County,34
5021,Arkansas,Clay County,32
5023,Arkansas,Cleburne County,26
5025,Arkansas,Cleveland County,33
5027,Arkansas,Columbia County,32
5029,Arkansas,Conway County,34
5031,Arkansas,Craighead County,34
5033,Arkansas,Crawford County,33
5035,Arkansas,Crittenden County,38
5037,Arkansas,Cross County,34
5039,Arkansas,Dallas County,34
5041,Arkansas,Desha County,38
5043,Arkansas,Drew County,36
5045,Arkansas,Faulkner County,33
5047,Arkansas,Franklin County,34
5049,Arkansas,Fulton County,31
5051,Arkansas,Garland County,28
5053,Arkansas,Grant County,36
5055,Arkansas,Greene County,34
5057,Arkansas,Hempstead County,34
5059,Arkansas,Hot Spring County,34
5061,Arkansas,Howard County,34
5063,Arkansas,Independence County,31
5065,Arkansas,Izard County,29
5067,Arkansas,Jackson County,32
5069,Arkansas,Jefferson County,38
5071,Arkansas,Johnson County,35
5073,Arkansas,Lafayette County,32
5075,Arkansas,Lawrence County,34
5077,Arkansas,Lee County,37
5079,Arkansas,Lincoln County,32
5081,Arkansas,Little River County,32
5083,Arkansas,Logan County,29
5085,Arkansas,Lonoke County,34
5087,Arkansas,Madison County,30
5089,Arkansas,Marion County,32
5091,Arkansas,Miller County,33
5093,Arkansas,Mississippi County,40
5095,Arkansas,Monroe County,31
5097,Arkansas,Montgomery County,28
5099,Arkansas,Nevada County,35
5101,Arkansas,Newton County,35
5103,Arkansas,Ouachita County,37
5105,Arkansas,Perry County,32
5107,Arkansas,Phillips County,39
5109,Arkansas,Pike County,31
5111,Arkansas,Poinsett County,36
5113,Arkansas,Polk County,38
5115,Arkansas,Pope County,37
5117,Arkansas,Prairie County,34
5119,Arkansas,Pulaski County,34
5121,Arkansas,Randolph County,33
5123,Arkansas,St. Francis County,38
5125,Arkansas,Saline County,34
5127,Arkansas,Scott County,32
5129,Arkansas,Searcy County,31
5131,Arkansas,Sebastian County,30
5133,Arkansas,Sevier County,32
5135,Arkansas,Sharp County,28
5137,Arkansas,Stone County,32
5139,Arkansas,Union County,31
5141,Arkansas,Van Buren County,31
5143,Arkansas,Washington County,30
5145,Arkansas,White County,31
5147,Arkansas,Woodruff County,34
5149,Arkansas,Yell County,36
6001,California,Alameda County,21
6003,California,Alpine County,25
6005,California,Amador County,25
6007,California,Butte County,25
6009,California,Calaveras County,26
6011,California,Colusa County,22
