FIPS,State,County,Obesity_Percent
1001,Alabama,Autauga County,30.9
1003,Alabama,Baldwin County,26.7
1005,Alabama,Barbour County,40.8
1007,Alabama,Bibb County,40.1
1009,Alabama,Blount County,32.4
1011,Alabama,Bullock County,44.5
1013,Alabama,Butler County,36
1015,Alabama,Calhoun County,32
1017,Alabama,Chambers County,39.8
1019,Alabama,Cherokee County,32.7
1021,Alabama,Chilton County,37.1
1023,Alabama,Choctaw County,38.7
1025,Alabama,Clarke County,36.1
1027,Alabama,Clay County,37.7
1029,Alabama,Cleburne County,30
1031,Alabama,Coffee County,30.2
1033,Alabama,Colbert County,36.6
1035,Alabama,Conecuh County,37.2
1037,Alabama,Coosa County,38.8
1039,Alabama,Covington County,31.6
1041,Alabama,Crenshaw County,36.6
1043,Alabama,Cullman County,34.7
1045,Alabama,Dale County,36.2
1047,Alabama,Dallas County,42.4
1049,Alabama,DeKalb County,30.6
1051,Alabama,Elmore County,30.3
1053,Alabama,Escambia County,39.4
1055,Alabama,Etowah County,34.7
1057,Alabama,Fayette County,32.4
1059,Alabama,Franklin County,34.2
1061,Alabama,Geneva County,34.7
1063,Alabama,Greene County,45.9
1065,Alabama,Hale County,35.9
1067,Alabama,Henry County,35.2
1069,Alabama,Houston County,33.6
1071,Alabama,Jackson County,30.6
1073,Alabama,Jefferson County,33.7
1075,Alabama,Lamar County,32.5
1077,Alabama,Lauderdale County,31.6
1079,Alabama,Lawrence County,36.3
1081,Alabama,Lee County,29.5
1083,Alabama,Limestone County,33.5
1085,Alabama,Lowndes County,46.4
1087,Alabama,Macon County,42.4
1089,Alabama,Madison County,31.2
1091,Alabama,Marengo County,41.3
1093,Alabama,Marion County,34.9
1095,Alabama,Marshall County,35
1097,Alabama,Mobile County,36.1
1099,Alabama,Monroe County,37.2
1101,Alabama,Montgomery County,33.6
1103,Alabama,Morgan County,32.2
1105,Alabama,Perry County,37.8
1107,Alabama,Pickens County,37.4
1109,Alabama,Pike County,34.1
1111,Alabama,Randolph County,33.2
1113,Alabama,Russell County,34.8
1115,Alabama,St. Clair County,33.1
1117,Alabama,Shelby County,31.3
1119,Alabama,Sumter County,39.6
1121,Alabama,Talladega County,37.6
1123,Alabama,Tallapoosa County,36.5
1125,Alabama,Tuscaloosa County,32.7
1127,Alabama,Walker County,32.9
1129,Alabama,Washington County,36
1131,Alabama,Wilcox County,44.4
1133,Alabama,Winston County,28.7
2013,Alaska,Aleutians East Borough,31.1
2016,Alaska,Aleutians West,36.2
2020,Alaska,Anchorage Municipality,27
2050,Alaska,Bethel Census Area,31.6
2060,Alaska,Bristol Bay Borough,34.1
2068,Alaska,Denali Borough,24.7
2070,Alaska,Dillingham Census Area,35.3
2090,Alaska,Fairbanks North Star,28.6
2100,Alaska,Haines Borough,26.5
2105,Alaska,Hoonah-Angoon 2009 Census,31.5
2110,Alaska,Juneau City and Borough,27
2122,Alaska,Kenai Peninsula Borough,28
2130,Alaska,Ketchikan Gateway Borough,29.3
2150,Alaska,Kodiak Island Borough,29.3
2164,Alaska,Lake and Peninsula Borough,32.4
2170,Alaska,Matanuska-Susitna Borough,28.9
2180,Alaska,Nome Census Area,33.3
2185,Alaska,North Slope Borough,35.3
2188,Alaska,Northwest Arctic Borough,32.5
2195,Alaska,Petersburg 2009 Census,29.8
2198,Alaska,Prince of Wales-Hyder 2009 Census,35.3
2201,Alaska,Prince of Wales-Outer K 2004 to 2008 Census,
2220,Alaska,Sitka City and Borough,27
2230,Alaska,Skagway Municipality 2009 Census,30.6
2232,Alaska,Hoonah-Angoon 2004 to 2008 Census,
2240,Alaska,Southeast Fairbanks Census,33
2261,Alaska,Valdez-Cordova Census Area,30.4
2270,Alaska,Wade Hampton Census Area,34.4
2275,Alaska,Wrangell City and Borough 2009 Census,29.4
2280,Alaska,Wrangell-Petersburg 2004 to 2008 Census,
2282,Alaska,Yakutat City and Borough,32.1
2290,Alaska,Yukon-Koyukuk Census Area,26.5
4001,Arizona,Apache County,32.8
4003,Arizona,Cochise County,24.7
4005,Arizona,Coconino County,21.5
4007,Arizona,Gila County,26.8
4009,Arizona,Graham County,31.8
4011,Arizona,Greenlee County,33.4
4012,Arizona,La Paz County,31.5
4013,Arizona,Maricopa County,22.2
4015,Arizona,Mohave County,28.1
4017,Arizona,Navajo County,30.9
4019,Arizona,Pima County,21.7
4021,Arizona,Pinal County,29.9
4023,Arizona,Santa Cruz County,21.2
4025,Arizona,Yavapai County,24.7
4027,Arizona,Yuma County,30.4
5001,Arkansas,Arkansas County,34
5003,Arkansas,Ashley County,39.8
5005,Arkansas,Baxter County,29
5007,Arkansas,Benton County,28.4
5009,Arkansas,Boone County,29.2
5011,Arkansas,Bradley County,37.1
5013,Arkansas,Calhoun County,35
5015,Arkansas,Carroll County,36.2
5017,Arkansas,Chicot County,39.2
5019,Arkansas,Clark County,31.8
5021,Arkansas,Clay County,32.7
5023,Arkansas,Cleburne County,31.2
5025,Arkansas,Cleveland County,36.7
5027,Arkansas,Columbia County,38.1
5029,Arkansas,Conway County,39.1
5031,Arkansas,Craighead County,36.4
5033,Arkansas,Crawford County,36.1
5035,Arkansas,Crittenden County,38.4
5037,Arkansas,Cross County,37.7
5039,Arkansas,Dallas County,36.2
5041,Arkansas,Desha County,38.8
5043,Arkansas,Drew County,30.8
5045,Arkansas,Faulkner County,28.9
5047,Arkansas,Franklin County,36.8
5049,Arkansas,Fulton County,32
5051,Arkansas,Garland County,31
5053,Arkansas,Grant County,36.6
5055,Arkansas,Greene County,34.1
5057,Arkansas,Hempstead County,41.2
5059,Arkansas,Hot Spring County,32.5
5061,Arkansas,Howard County,37.3
5063,Arkansas,Independence County,34
5065,Arkansas,Izard County,33
5067,Arkansas,Jackson County,40.1
5069,Arkansas,Jefferson County,39
