FIPS,State,County,Restaurants
1001,Alabama,Autauga County,33
1003,Alabama,Baldwin County,122
1005,Alabama,Barbour County,22
1007,Alabama,Bibb County,6
1009,Alabama,Blount County,23
1011,Alabama,Bullock County,4
1013,Alabama,Butler County,17
1015,Alabama,Calhoun County,99
1017,Alabama,Chambers County,24
1019,Alabama,Cherokee County,16
1021,Alabama,Chilton County,22
1023,Alabama,Choctaw County,5
1025,Alabama,Clarke County,25
1027,Alabama,Clay County,4
1029,Alabama,Cleburne County,8
1031,Alabama,Coffee County,35
1033,Alabama,Colbert County,47
1035,Alabama,Conecuh County,6
1037,Alabama,Coosa County,1
1039,Alabama,Covington County,25
1041,Alabama,Crenshaw County,4
1043,Alabama,Cullman County,52
1045,Alabama,Dale County,34
1047,Alabama,Dallas County,20
1049,Alabama,DeKalb County,42
1051,Alabama,Elmore County,37
1053,Alabama,Escambia County,25
1055,Alabama,Etowah County,81
1057,Alabama,Fayette County,11
1059,Alabama,Franklin County,20
1061,Alabama,Geneva County,10
1063,Alabama,Greene County,1
1065,Alabama,Hale County,6
1067,Alabama,Henry County,10
1069,Alabama,Houston County,90
1071,Alabama,Jackson County,30
1073,Alabama,Jefferson County,610
1075,Alabama,Lamar County,7
1077,Alabama,Lauderdale County,67
1079,Alabama,Lawrence County,21
1081,Alabama,Lee County,118
1083,Alabama,Limestone County,48
1085,Alabama,Lowndes County,1
1087,Alabama,Macon County,10
1089,Alabama,Madison County,315
1091,Alabama,Marengo County,18
1093,Alabama,Marion County,22
1095,Alabama,Marshall County,71
1097,Alabama,Mobile County,253
1099,Alabama,Monroe County,10
1101,Alabama,Montgomery County,190
1103,Alabama,Morgan County,100
1105,Alabama,Perry County,2
1107,Alabama,Pickens County,7
1109,Alabama,Pike County,32
1111,Alabama,Randolph County,10
1113,Alabama,Russell County,44
1115,Alabama,St. Clair County,49
1117,Alabama,Shelby County,135
1119,Alabama,Sumter County,7
1121,Alabama,Talladega County,49
1123,Alabama,Tallapoosa County,22
1125,Alabama,Tuscaloosa County,160
1127,Alabama,Walker County,43
1129,Alabama,Washington County,4
1131,Alabama,Wilcox County,6
1133,Alabama,Winston County,11
2013,Alaska,Aleutians East Borough,1
2016,Alaska,Aleutians West,1
2020,Alaska,Anchorage Municipality,206
2050,Alaska,Bethel Census Area,6
2060,Alaska,Bristol Bay Borough,0
2068,Alaska,Denali Borough,2
2070,Alaska,Dillingham Census Area,1
2090,Alaska,Fairbanks North Star,46
2100,Alaska,Haines Borough,1
2105,Alaska,Hoonah-Angoon 2009 Census,1
2110,Alaska,Juneau City and Borough,27
2122,Alaska,Kenai Peninsula Borough,38
2130,Alaska,Ketchikan Gateway Borough,10
2150,Alaska,Kodiak Island Borough,7
2164,Alaska,Lake and Peninsula Borough,0
2170,Alaska,Matanuska-Susitna Borough,40
2180,Alaska,Nome Census Area,3
2185,Alaska,North Slope Borough,3
2188,Alaska,Northwest Arctic Borough,2
2195,Alaska,Petersburg 2009 Census,2
2198,Alaska,Prince of Wales-Hyder 2009 Census,2
